original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
Bereits rund 140 Corona-Fälle in Österreich.,Bisher haben sich in Österreich schon rund 140 Menschen mit dem Corona-Virus angesteckt.,"In Österreich gibt es rund 140 Menschen, die an dem Corona-Virus erkrankt sind.",2.6677628228,2.4846783188,Disco Llama8B,uid_apa_1066,r2_pid_apa4571
Dort hielten sie oft nicht genug Abstand und zündeten Feuerwerke und Rauchbomben.,"Dort zündeten sie öfter Feuerwerke und Rauchbomben. Manchmal waren sie so nah an den Menschen dran, dass man keinen Abstand hielt.",Dort hielten viele nicht die Abstands-Regeln ein. Außerdem zündeten sie Rauch-Bomben und Feuer-Werke.,3.9947832572,2.7156648014,LeoLM Mistral 7B,uid_apa_11,r2_pid_apa621779
Elefantengehege im Wiener Tiergarten Schönbrunn wird ausgebaut.,Die Elefanten im Tiergarten Schönbrunn haben bald wieder mehr Platz. Das Elefanten-Gehege wird nämlich ausgebaut.,Es wird ein größeres Elefantengehege in Wien. Der Tiergarten Schönbrunn in Wien baut ein neues Elefantengehege aus.,2.3042323265,2.9892098304,Llama8B,uid_apa_1096,r2_pid_apa1272241
Danach kann er seine Entscheidung zurücknehmen.,Später kann er die Entscheidung aber auch rückgängig machen.,Er kann also noch seine Meinung ändern und entscheidet das noch mal neu.,3.5252966873,9.482129865,Disco Llama8B,uid_apa_1055,r2_pid_apa4032
"Außerdem gibt es eine Empfehlung, dass die Betriebe eine Corona-Prämie von 150 Euro an die Arbeitnehmer zahlen sollen.","Dafür gibt es eine Empfehlung, dass Betriebe den Arbeitnehmern extra ein Corona-Prämie zahlen sollen. Das soll 150 Euro betragen.",Die Corona-Prämie soll 150 Euro sein. Die Arbeitnehmer sollen diese Prämie von ihren Arbeitgebern bekommen.,3.4221981925,2.5270084904,Llama8B,uid_apa_1019,r2_pid_apa1267462
"Österreich will sich aber nicht beteiligen, sagte Innen-Minister Wolfgang Peschorn.",Österreich beteiligt sich aber nicht. Das sagte Innen-Minister Peschorn.,"Österreich wird aber nichts dazu tun, sagt Innen-Minister Wolfgang Peschorn.",2.3769458384,3.538132074,Disco Llama8B,uid_apa_1031,r2_pid_apa2408
Das ist das vorläufige Ergebnis der Nationalrats-Wahl.,Das ist das vorläufige Ergebnis. Das endgültige Ergebnis steht noch nicht fest.,"Die Nationalrats-Wahl ist vorbei. Das ist nur das vorläufige Ergebnis. Das heißt, das ist erst eine Zwischen-Zählung.",2.7822087106,3.0181206642,Llama8B,uid_apa_1012,r2_pid_apa1267085
Covid-19 breitete sich schnell auf der ganzen Welt aus.,Covid-19 ist sehr ansteckend und verbreitete sich schnell auf der ganzen Welt.,Schon nach ein paar Wochen war Covid-19 auf der ganzen Welt verteilt.,2.9794396746,3.2724937175,Disco Llama8B,uid_apa_1016,r2_pid_apa1441
In Österreich haben am Montag die Schulen nach 9 Wochen wieder geöffnet.,Schulen in Österreich haben nach einer 9-wöchigen Pause wieder geöffnet. Das gab es am Montag.,Am Montag öffneten in Österreich die Schulen wieder. Insgesamt dauerte der Lockdown für die Schulen 9 Wochen.,3.1384441911,2.9122835477,Llama8B,uid_apa_1102,r2_pid_apa1273075
In der Woche nach Ostern gibt es auch keinen Unterricht in den Schulen.,Auch nach Ostern findet kein Unterricht in den Schulen statt.,Die Woche nach Ostern wird es auch keine Schulstunden geben.,3.8418857874,5.4023107248,Disco Llama8B,uid_apa_1018,r2_pid_apa1494
